code	name	description	keywords	knowledge_type_code	stem_element	course_code	grade_code	week_code	prompt_ready
CIO_IT_LQVT_TTSD	Thực hiện các thao tác sử dụng máy tính cơ bản	Thực hiện được các thao tác cơ bản với chuột và hệ điều hành như khởi động, tắt máy, mở phần mềm.	chuột máy tính, thao tác, khởi động, tắt máy, mở phần mềm	PROCEDURAL	T	TIN_HOC	G3	W4	"Mã LO: CIO_IT_LQVT_TTSD
Tên: Thực hiện các thao tác sử dụng máy tính cơ bản
Mô tả: Thực hiện được các thao tác cơ bản với chuột và hệ điều hành như khởi động, tắt máy, mở phần mềm.
Từ khóa: chuột máy tính, thao tác, khởi động, tắt máy, mở phần mềm
Loại kiến thức: PROCEDURAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W4"
CIO_TECH_SDCCTB_ĐH	Sử dụng đèn học đúng cách và an toàn	Biết cách sử dụng đèn học đúng cách để bảo vệ mắt và phòng tránh các tình huống mất an toàn.	đèn học, sử dụng, an toàn, bảo vệ mắt	PROCEDURAL	E	CONG_NGHE	G3	W4	"Mã LO: CIO_TECH_SDCCTB_ĐH
Tên: Sử dụng đèn học đúng cách và an toàn
Mô tả: Biết cách sử dụng đèn học đúng cách để bảo vệ mắt và phòng tránh các tình huống mất an toàn.
Từ khóa: đèn học, sử dụng, an toàn, bảo vệ mắt
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W4"
SIO_IT_LQVT_TTSD_02	Khởi động, tắt máy và kích hoạt phần mềm	Thực hiện được việc khởi động máy tính, kích hoạt phần mềm và thoát khỏi hệ thống đúng cách.	khởi động máy tính, tắt máy tính, mở phần mềm, thoát phần mềm, đăng nhập, đăng xuất	PROCEDURAL	T	TIN_HOC	G3	W4	"Mã LO: SIO_IT_LQVT_TTSD_02
Tên: Khởi động, tắt máy và kích hoạt phần mềm
Mô tả: Thực hiện được việc khởi động máy tính, kích hoạt phần mềm và thoát khỏi hệ thống đúng cách.
Từ khóa: khởi động máy tính, tắt máy tính, mở phần mềm, thoát phần mềm, đăng nhập, đăng xuất
Loại kiến thức: PROCEDURAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W4"
SIO_TECH_SDCCTB_ĐH_01	Nhận biết và hiểu tác dụng của đèn học	Nêu được tác dụng, mô tả được các bộ phận chính và nhận biết được một số loại đèn học thông dụng.	đèn học, tác dụng, bộ phận, các loại đèn, công nghệ chiếu sáng	FACTUAL	E	CONG_NGHE	G3	W4	"Mã LO: SIO_TECH_SDCCTB_ĐH_01
Tên: Nhận biết và hiểu tác dụng của đèn học
Mô tả: Nêu được tác dụng, mô tả được các bộ phận chính và nhận biết được một số loại đèn học thông dụng.
Từ khóa: đèn học, tác dụng, bộ phận, các loại đèn, công nghệ chiếu sáng
Loại kiến thức: FACTUAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W4"
SIO_TECH_SDCCTB_ĐH_02	Thực hành sử dụng đèn học	Xác định được vị trí đặt đèn, bật/tắt và điều chỉnh được độ sáng đèn học phù hợp.	sử dụng đèn học, vị trí đặt đèn, bật tắt, điều chỉnh độ sáng, an toàn mắt	PROCEDURAL	E	CONG_NGHE	G3	W4	"Mã LO: SIO_TECH_SDCCTB_ĐH_02
Tên: Thực hành sử dụng đèn học
Mô tả: Xác định được vị trí đặt đèn, bật/tắt và điều chỉnh được độ sáng đèn học phù hợp.
Từ khóa: sử dụng đèn học, vị trí đặt đèn, bật tắt, điều chỉnh độ sáng, an toàn mắt
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W4"
SIO_TECH_SDCCTB_ĐH_03	Phòng tránh các tình huống mất an toàn khi dùng đèn học	Nhận biết và phòng tránh được các tình huống mất an toàn khi sử dụng đèn học.	an toàn điện, sử dụng đèn học an toàn, phòng tránh tai nạn, tình huống nguy hiểm	CONCEPT	E	CONG_NGHE	G3	W4	"Mã LO: SIO_TECH_SDCCTB_ĐH_03
Tên: Phòng tránh các tình huống mất an toàn khi dùng đèn học
Mô tả: Nhận biết và phòng tránh được các tình huống mất an toàn khi sử dụng đèn học.
Từ khóa: an toàn điện, sử dụng đèn học an toàn, phòng tránh tai nạn, tình huống nguy hiểm
Loại kiến thức: CONCEPT
Môn học: CONG_NGHE
Lớp: G3
Tuần: W4"
CIO_ENG_GQVDTQT_LKHTGB	Lập kế hoạch cá nhân	Xây dựng và thực hiện được thời gian biểu cá nhân phù hợp.	kế hoạch, thời gian biểu, quản lý thời gian, tự quản lý	PROCEDURAL	E	CONG_NGHE	G3	W5	"Mã LO: CIO_ENG_GQVDTQT_LKHTGB
Tên: Lập kế hoạch cá nhân
Mô tả: Xây dựng và thực hiện được thời gian biểu cá nhân phù hợp.
Từ khóa: kế hoạch, thời gian biểu, quản lý thời gian, tự quản lý
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W5"
CIO_IT_LQVT_ATSD	Đảm bảo an toàn khi sử dụng máy tính	Biết và thực hiện các quy tắc về tư thế ngồi và an toàn điện để bảo vệ sức khỏe khi sử dụng máy tính.	an toàn, tư thế ngồi, an toàn điện, sức khỏe, thiết bị điện tử	PROCEDURAL	T	TIN_HOC	G3	W5	"Mã LO: CIO_IT_LQVT_ATSD
Tên: Đảm bảo an toàn khi sử dụng máy tính
Mô tả: Biết và thực hiện các quy tắc về tư thế ngồi và an toàn điện để bảo vệ sức khỏe khi sử dụng máy tính.
Từ khóa: an toàn, tư thế ngồi, an toàn điện, sức khỏe, thiết bị điện tử
Loại kiến thức: PROCEDURAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W5"
SIO_ENG_GQVDTQT_LKHTGB_01	Xây dựng và thực hiện thời gian biểu cá nhân	Xây dựng và thực hiện được thời gian biểu cá nhân phù hợp (liên quan đến bảo vệ sức khỏe).	thời gian biểu, lập kế hoạch, quản lý thời gian, sức khỏe, thói quen tốt, tự quản lý	PROCEDURAL	E	CONG_NGHE	G3	W5	"Mã LO: SIO_ENG_GQVDTQT_LKHTGB_01
Tên: Xây dựng và thực hiện thời gian biểu cá nhân
Mô tả: Xây dựng và thực hiện được thời gian biểu cá nhân phù hợp (liên quan đến bảo vệ sức khỏe).
Từ khóa: thời gian biểu, lập kế hoạch, quản lý thời gian, sức khỏe, thói quen tốt, tự quản lý
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W5"
SIO_IT_LQVT_ATSD_01	Ngồi đúng tư thế khi làm việc với máy tính	Biết và ngồi đúng tư thế khi làm việc với máy tính.	tư thế ngồi, máy tính, sức khỏe, an toàn lao động	PROCEDURAL	T	TIN_HOC	G3	W5	"Mã LO: SIO_IT_LQVT_ATSD_01
Tên: Ngồi đúng tư thế khi làm việc với máy tính
Mô tả: Biết và ngồi đúng tư thế khi làm việc với máy tính.
Từ khóa: tư thế ngồi, máy tính, sức khỏe, an toàn lao động
Loại kiến thức: PROCEDURAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W5"
SIO_IT_LQVT_ATSD_02	Biết quy tắc an toàn điện	Biết quy tắc an toàn điện khi sử dụng máy tính và các thiết bị điện tử khác.	an toàn điện, sử dụng máy tính, thiết bị điện tử, phòng tránh điện giật	FACTUAL	T	TIN_HOC	G3	W5	"Mã LO: SIO_IT_LQVT_ATSD_02
Tên: Biết quy tắc an toàn điện
Mô tả: Biết quy tắc an toàn điện khi sử dụng máy tính và các thiết bị điện tử khác.
Từ khóa: an toàn điện, sử dụng máy tính, thiết bị điện tử, phòng tránh điện giật
Loại kiến thức: FACTUAL
Môn học: TIN_HOC
Lớp: G3
Tuần: W5"
CIO_MATH_SPPT_TPCB	Xác định thành phần chưa biết của phép tính	Xác định được các thành phần chưa biết trong một phép tính.	tìm x, thành phần phép tính	PROCEDURAL	M	TOAN	G3	W6	"Mã LO: CIO_MATH_SPPT_TPCB
Tên: Xác định thành phần chưa biết của phép tính
Mô tả: Xác định được các thành phần chưa biết trong một phép tính.
Từ khóa: tìm x, thành phần phép tính
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W6"
SIO_MATH_SPPT_TCPT_02	Nhận biết mối quan hệ giữa phép nhân và chia	Nhận biết được mối quan hệ giữa phép nhân và phép chia (dựa trên tính toán cụ thể).	mối quan hệ nhân chia, tìm thành phần chưa biết, phép tính ngược	CONCEPT	M	TOAN	G3	W6	"Mã LO: SIO_MATH_SPPT_TCPT_02
Tên: Nhận biết mối quan hệ giữa phép nhân và chia
Mô tả: Nhận biết được mối quan hệ giữa phép nhân và phép chia (dựa trên tính toán cụ thể).
Từ khóa: mối quan hệ nhân chia, tìm thành phần chưa biết, phép tính ngược
Loại kiến thức: CONCEPT
Môn học: TOAN
Lớp: G3
Tuần: W6"
SIO_MATH_SPPT_TPCB_01	Xác định thành phần chưa biết của phép tính	Xác định được thành phần chưa biết (số hạng, số bị trừ, số trừ, thừa số, số bị chia, số chia) của phép tính.	tìm x, số hạng, số bị trừ, số trừ, thừa số, số bị chia, số chia, thành phần phép tính	PROCEDURAL	M	TOAN	G3	W6	"Mã LO: SIO_MATH_SPPT_TPCB_01
Tên: Xác định thành phần chưa biết của phép tính
Mô tả: Xác định được thành phần chưa biết (số hạng, số bị trừ, số trừ, thừa số, số bị chia, số chia) của phép tính.
Từ khóa: tìm x, số hạng, số bị trừ, số trừ, thừa số, số bị chia, số chia, thành phần phép tính
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W6"
CIO_MATH_SPPT_PS	Hiểu và thực hiện các thao tác cơ bản với phân số	Nhận biết, đọc, viết và so sánh các phân số đơn giản.	phân số, tử số, mẫu số, so sánh phân số	PROCEDURAL	M	TOAN	G3	W7	"Mã LO: CIO_MATH_SPPT_PS
Tên: Hiểu và thực hiện các thao tác cơ bản với phân số
Mô tả: Nhận biết, đọc, viết và so sánh các phân số đơn giản.
Từ khóa: phân số, tử số, mẫu số, so sánh phân số
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_HHDL_HHP_01	Nhận biết điểm ở giữa, trung điểm	Nhận biết được điểm ở giữa hai điểm, trung điểm của đoạn thẳng.	điểm ở giữa, trung điểm, đoạn thẳng	FACTUAL	M	TOAN	G3	W7	"Mã LO: SIO_MATH_HHDL_HHP_01
Tên: Nhận biết điểm ở giữa, trung điểm
Mô tả: Nhận biết được điểm ở giữa hai điểm, trung điểm của đoạn thẳng.
Từ khóa: điểm ở giữa, trung điểm, đoạn thẳng
Loại kiến thức: FACTUAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_SPPT_PS_01	Nhận biết khái niệm ban đầu về phân số	Nhận biết được khái niệm ban đầu về phân số thông qua hình ảnh trực quan.	phân số, phần bằng nhau, hình ảnh trực quan, khái niệm phân số	CONCEPT	M	TOAN	G3	W7	"Mã LO: SIO_MATH_SPPT_PS_01
Tên: Nhận biết khái niệm ban đầu về phân số
Mô tả: Nhận biết được khái niệm ban đầu về phân số thông qua hình ảnh trực quan.
Từ khóa: phân số, phần bằng nhau, hình ảnh trực quan, khái niệm phân số
Loại kiến thức: CONCEPT
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_SPPT_PS_02	Nhận biết các phân số đơn vị	Nhận biết được các phân số dạng 1/2, 1/3, 1/4, ..., 1/9, 1/10.	một phần hai, một phần ba, một phần tư, ..., phân số đơn vị	FACTUAL	M	TOAN	G3	W7	"Mã LO: SIO_MATH_SPPT_PS_02
Tên: Nhận biết các phân số đơn vị
Mô tả: Nhận biết được các phân số dạng 1/2, 1/3, 1/4, ..., 1/9, 1/10.
Từ khóa: một phần hai, một phần ba, một phần tư, ..., phân số đơn vị
Loại kiến thức: FACTUAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_SPPT_PS_03	Đọc, viết phân số đơn giản	Đọc, viết được các phân số đơn giản.	đọc phân số, viết phân số	PROCEDURAL	M	TOAN	G3	W7	"Mã LO: SIO_MATH_SPPT_PS_03
Tên: Đọc, viết phân số đơn giản
Mô tả: Đọc, viết được các phân số đơn giản.
Từ khóa: đọc phân số, viết phân số
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_SPPT_PS_04	Nhận biết tử số, mẫu số	Nhận biết được tử số, mẫu số của một phân số.	tử số, mẫu số, cấu tạo phân số	FACTUAL	M	TOAN	G3	W7	"Mã LO: SIO_MATH_SPPT_PS_04
Tên: Nhận biết tử số, mẫu số
Mô tả: Nhận biết được tử số, mẫu số của một phân số.
Từ khóa: tử số, mẫu số, cấu tạo phân số
Loại kiến thức: FACTUAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
SIO_MATH_SPPT_PS_05	So sánh phân số đơn giản	So sánh được hai phân số trong trường hợp đơn giản (ví dụ: cùng mẫu số; so sánh 1/2 và 1/3 qua hình ảnh).	so sánh phân số, cùng mẫu số, khác mẫu số (đơn giản), lớn hơn, bé hơn, bằng nhau	PROCEDURAL	M	TOAN	G3	W7	"Mã LO: SIO_MATH_SPPT_PS_05
Tên: So sánh phân số đơn giản
Mô tả: So sánh được hai phân số trong trường hợp đơn giản (ví dụ: cùng mẫu số; so sánh 1/2 và 1/3 qua hình ảnh).
Từ khóa: so sánh phân số, cùng mẫu số, khác mẫu số (đơn giản), lớn hơn, bé hơn, bằng nhau
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W7"
CIO_ENG_GQVDTQT_KSAT	Khảo sát an toàn trong môi trường học đường	Thực hành được việc khảo sát và phát hiện các nguy cơ mất an toàn trong trường học.	khảo sát, an toàn, trường học, phát hiện nguy cơ	PROCEDURAL	E	CONG_NGHE	G3	W8	"Mã LO: CIO_ENG_GQVDTQT_KSAT
Tên: Khảo sát an toàn trong môi trường học đường
Mô tả: Thực hành được việc khảo sát và phát hiện các nguy cơ mất an toàn trong trường học.
Từ khóa: khảo sát, an toàn, trường học, phát hiện nguy cơ
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W8"
CIO_MATH_HHDL_HHP	Nhận biết và vẽ các hình hình học phẳng	Nhận biết, xác định các yếu tố và vẽ được các hình hình học phẳng cơ bản.	hình học phẳng, điểm, đoạn thẳng, góc, hình tròn, hình tam giác, hình tứ giác	PROCEDURAL	M	TOAN	G3	W8	"Mã LO: CIO_MATH_HHDL_HHP
Tên: Nhận biết và vẽ các hình hình học phẳng
Mô tả: Nhận biết, xác định các yếu tố và vẽ được các hình hình học phẳng cơ bản.
Từ khóa: hình học phẳng, điểm, đoạn thẳng, góc, hình tròn, hình tam giác, hình tứ giác
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W8"
CIO_MATH_HHDL_THVH	Thực hành vẽ các hình hình học cơ bản	Sử dụng dụng cụ để vẽ được các hình cơ bản và vẽ trang trí.	vẽ hình, êke, compa, lưới ô vuông, trang trí	PROCEDURAL	M	TOAN	G3	W8	"Mã LO: CIO_MATH_HHDL_THVH
Tên: Thực hành vẽ các hình hình học cơ bản
Mô tả: Sử dụng dụng cụ để vẽ được các hình cơ bản và vẽ trang trí.
Từ khóa: vẽ hình, êke, compa, lưới ô vuông, trang trí
Loại kiến thức: PROCEDURAL
Môn học: TOAN
Lớp: G3
Tuần: W8"
CIO_TECH_SDCV_CPĐT	Sử dụng compa	Sử dụng được compa để vẽ đường tròn.	compa, đường tròn, vẽ	PROCEDURAL	E	CONG_NGHE	G3	W8	"Mã LO: CIO_TECH_SDCV_CPĐT
Tên: Sử dụng compa
Mô tả: Sử dụng được compa để vẽ đường tròn.
Từ khóa: compa, đường tròn, vẽ
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W8"
CIO_TECH_SDCV_EKGV	Sử dụng êke	Sử dụng được êke để kiểm tra và vẽ góc vuông.	êke, góc vuông, kiểm tra, vẽ	PROCEDURAL	E	CONG_NGHE	G3	W8	"Mã LO: CIO_TECH_SDCV_EKGV
Tên: Sử dụng êke
Mô tả: Sử dụng được êke để kiểm tra và vẽ góc vuông.
Từ khóa: êke, góc vuông, kiểm tra, vẽ
Loại kiến thức: PROCEDURAL
Môn học: CONG_NGHE
Lớp: G3
Tuần: W8"
